MAKE,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,COEMISSIONS,FUEL_Z,TRANSMISSION_A4,TRANSMISSION_A5,TRANSMISSION_M5,FUEL_X,FUEL CONSUMPTION
0.2857142857142857,0.3986486486486486,0.0,0.0,0.9945945945945946,0.0,0.0,1.0,0.0,0.0,15.9
0.0,0.27027027027027023,0.0,0.0,0.8864864864864865,1.0,0.0,0.0,1.0,0.0,15.3
0.5714285714285714,0.6621621621621622,0.0,0.0,0.5135135135135135,0.0,0.0,0.0,0.0,0.0,11.2
0.14285714285714285,0.8918918918918918,0.0,0.0,0.4648648648648649,1.0,0.0,1.0,0.0,0.0,13.8
0.14285714285714285,0.04054054054054058,0.0,0.0,0.6324324324324324,0.0,1.0,0.0,0.0,0.0,17.5
0.14285714285714285,0.34459459459459446,0.0,0.0,0.6216216216216216,0.0,1.0,0.0,0.0,0.0,19.0
0.42857142857142855,0.8918918918918918,0.0,0.0,0.07567567567567568,0.0,0.0,0.0,1.0,0.0,14.4
0.7142857142857143,0.3986486486486486,0.0,0.0,0.20540540540540542,1.0,0.0,1.0,0.0,0.0,14.8
0.2857142857142857,0.27027027027027023,0.0,0.0,0.23783783783783785,0.0,0.0,1.0,0.0,0.0,12.0
0.14285714285714285,1.0,0.0,0.0,0.34594594594594597,1.0,0.0,0.0,1.0,0.0,12.0
0.14285714285714285,0.3986486486486486,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,17.4
0.14285714285714285,0.34459459459459446,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.7
1.0,0.6621621621621622,0.0,0.0,0.6108108108108108,0.0,0.0,0.0,0.0,0.0,20.9
0.7142857142857143,0.27027027027027023,0.0,0.0,0.5513513513513514,1.0,0.0,0.0,1.0,0.0,13.3
0.14285714285714285,0.0,0.0,0.0,0.972972972972973,1.0,0.0,0.0,1.0,0.0,21.6
0.5714285714285714,0.34459459459459446,0.0,0.0,0.22702702702702704,0.0,0.0,0.0,1.0,0.0,13.7
0.2857142857142857,0.27027027027027023,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,16.1
0.5714285714285714,0.8918918918918918,0.0,0.0,0.4594594594594595,1.0,0.0,0.0,0.0,0.0,11.2
0.5714285714285714,0.04054054054054058,0.0,0.0,0.372972972972973,0.0,1.0,0.0,0.0,0.0,20.0
0.5714285714285714,0.04054054054054058,0.0,0.0,0.12972972972972974,0.0,0.0,0.0,0.0,0.0,16.4
