MAKE,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,COEMISSIONS,FUEL_Z,TRANSMISSION_A4,TRANSMISSION_A5,TRANSMISSION_M5,FUEL_X,FUEL CONSUMPTION
0.14285714285714285,0.33695652173913027,0.6714285714285715,0.1111111111111111,0.8286445012787724,0,0.0,1.0,0.0,0.0,15.9
0.0,0.23369565217391292,0.6714285714285715,0.1111111111111111,0.7774936061381074,1,0.0,0.0,1.0,0.0,15.3
0.2857142857142857,0.5489130434782608,0.6714285714285715,0.1111111111111111,0.6010230179028133,0,0.0,0.0,0.0,0.0,11.2
0.07142857142857142,0.7336956521739129,0.6714285714285715,0.1111111111111111,0.578005115089514,1,0.0,1.0,0.0,0.0,13.8
0.07142857142857142,0.048913043478260795,0.6714285714285715,0.1111111111111111,0.6572890025575447,0,1.0,0.0,0.0,0.0,17.5
0.07142857142857142,0.293478260869565,0.6714285714285715,0.1111111111111111,0.6521739130434783,0,1.0,0.0,0.0,0.0,19.0
0.21428571428571427,0.7336956521739129,0.6714285714285715,0.1111111111111111,0.3938618925831202,0,0.0,0.0,1.0,0.0,14.4
0.35714285714285715,0.33695652173913027,0.6714285714285715,0.1111111111111111,0.45524296675191817,1,0.0,1.0,0.0,0.0,14.8
0.14285714285714285,0.23369565217391292,0.6714285714285715,0.1111111111111111,0.47058823529411764,0,0.0,1.0,0.0,0.0,12.0
0.07142857142857142,0.8206521739130435,0.6714285714285715,0.1111111111111111,0.5217391304347826,1,0.0,0.0,1.0,0.0,12.0
0.07142857142857142,0.33695652173913027,0.6714285714285715,0.1111111111111111,0.5473145780051151,0,1.0,0.0,0.0,0.0,17.4
0.07142857142857142,0.293478260869565,0.6714285714285715,0.1111111111111111,0.35805626598465473,1,0.0,0.0,0.0,0.0,10.7
0.5,0.5489130434782608,0.6714285714285715,0.1111111111111111,0.6470588235294118,0,0.0,0.0,0.0,0.0,20.9
0.35714285714285715,0.23369565217391292,0.6714285714285715,0.1111111111111111,0.618925831202046,1,0.0,0.0,1.0,0.0,13.3
0.07142857142857142,0.016304347826086852,0.6714285714285715,0.1111111111111111,0.8184143222506394,1,0.0,0.0,1.0,0.0,21.6
0.2857142857142857,0.293478260869565,0.6714285714285715,0.1111111111111111,0.46547314578005117,0,0.0,0.0,1.0,0.0,13.7
0.14285714285714285,0.23369565217391292,0.6714285714285715,0.1111111111111111,0.8312020460358056,1,0.0,0.0,1.0,0.0,16.1
0.2857142857142857,0.7336956521739129,0.6714285714285715,0.1111111111111111,0.5754475703324808,1,0.0,0.0,0.0,0.0,11.2
0.2857142857142857,0.048913043478260795,0.6714285714285715,0.1111111111111111,0.5345268542199488,0,1.0,0.0,0.0,0.0,20.0
0.2857142857142857,0.048913043478260795,0.6714285714285715,0.1111111111111111,0.4194373401534527,0,0.0,0.0,0.0,0.0,16.4
